transliteration,meaning_en,meaning_ar,phnid,hieroglyphs
HAq,plunder (n.),نهب,13,𓇉𓈎𓂡𓏥
HAq,"plunder (goods), capture (towns), carry off (captive)",يسلب (مَتاع)، يستولي على (مدن)، يختطف (أسرى),13,𓇉𓄿𓈎𓂝𓎛𓇉𓄿𓈎𓀜
HAqw,captives,اسرى,13,𓇉𓈎𓂡𓀏𓏪
HAqw,plunderer,سارق، نهَّاب,13,𓇉𓄿𓈎𓍢𓀜𓀀
HAqt,plunder (n.),نهب,13,𓇉𓈎𓏏𓂡𓏥
HAg,touch (of ship on land),لمس (السفينة للأرض),13,𓇉𓄿𓎼𓂻
HAg,be glad,يسعَد,13,𓎛𓇉𓎼𓀁
HAgAg,rejoice,يبتهج,13,𓇉𓄿𓎼𓄿𓎼𓏛
HAt,"forehead, forepart (of animal), prow (of ship), vanguard (of army), beginning (of region), foremost, chief, the best of",جبهة، مقدمة رأس (الحيوان)، مقدمة المركب، طليعة (الجيش)، بداية (إقليم)، رئيس، أفضل الـ، أول,13,𓄂𓏏𓏤
HAt,tomb,مقبرة,13,𓇉𓄿𓏏𓉐𓎛𓄿𓏏𓉬
HAt,food,طعام,13,𓇉𓄿𓏏𓈀𓏥
HAt if,meat of the forehead,لحم الجبهة,13,𓄂𓏏𓏤𓇋𓆑𓄹
HAt-a,beginning,بداية,13,𓄂𓂝
HAt-r,starting with,بدءا من,13,𓄂𓏏𓏤𓂋
HAt-xA,Herdsman,راعى الماشية,13,𓄂𓏏𓏤𓆼
HAt-sp,regnal year,سنة الحكم (للتأريخ),13,𓆳𓏏𓊗
HAti,bleariness (?) (of eyes),غشاوة (العين),13,𓎛𓇉𓄿𓍘𓇋𓁺𓇉𓄿𓏏𓁹𓎛𓇉𓄿𓍘𓇋𓇲
HAti,cloudiness (of sky),غيوم (السماء),13,𓇉𓄿𓍘𓇋𓇲
HAti,cloak,عباءة,13,𓎛𓄿𓍘𓇋𓋳𓎛𓄿𓏏𓋳
HAty,heart,قلب,13,𓄂𓏏𓏭𓄣𓎛𓄿𓏏𓏭𓄣𓇉𓏏𓄣
HAty-a,the finest of,الأجود من,13,𓄂𓂝𓏤
HAty-a,"local prince, mayor, nomarch",أمير محلي، حاكم اقليم، عمدة,13,𓄂𓂝𓀀
HAtyw,fine linen,كتان ناعم,13,𓇉𓄿𓅂𓋳𓇉𓅂𓅱𓋳𓏪𓇉𓄿𓍘𓇋𓍱
HAtyw,thoughts,أفكار,13,𓄂𓏏𓏭𓄣𓏥𓇉𓅱𓏏𓄣𓏥
HAtt,unguent,دهان، مرهم,13,𓄂𓏏𓏏𓎯𓄂𓏏𓈓
HAtt,bow-warp (of ship),انثناءة مقدمة السفية,13,𓄂𓏏𓏏𓍢𓄂𓏏𓏭𓎅
HAtt-a,local princess,أميرة محلية,13,𓄂𓏏𓏏𓂝𓄂𓏏𓂝
HAd,lust (vb.),يشتهي (جنسيًا),13,𓎛𓄿𓂧𓂸
HAd,"fish-trap, trap-fish (vb.)",مصيدة للسمك، يصطاد سمك (بمصيدة),13,𓎛𓇉𓂧𓆱
Ha,palace,قصر,13,𓎛𓂝𓉐
Ha,flesh,لحم,13,𓎛𓂝𓄹
HaAw,children,أطفال,13,𓎛𓉻𓂝𓄿𓀔𓀀𓏥𓎛𓉻𓂝𓅱𓀔𓀀𓎛𓉻𓄿𓅪𓏥
Hai,"joyful (adj.), rejoice",مُبهج، يبتهج,13,𓎛𓂝𓀠𓀁𓎛𓂝𓀠𓏛𓎛𓂝𓅱𓎛𓂝𓏛𓎛𓂝𓇌𓀠𓏛
Haaw,rejoice,يبتهج,13,𓎛𓂝𓂝𓅱𓀠𓏛𓎛𓂝𓂝𓀠
Haawt,joy,بهجة,13,𓎛𓂝𓂝𓅱𓏏𓀠
Haw,body,جسد,13,𓎛𓂝𓄹𓏥𓎛𓄹𓄹𓄹
Haw nb,all people,كل الناس,13,𓎛𓂝𓄻𓎟
Ha(w)-nTr,body of the god (king's person),جسد الإله (شخص الملك),13,𓊹𓄹𓄹𓄹
Haww,ships,سُفن,13,𓎛𓂝𓅱𓅱𓊛𓏥𓎛𓂝𓅱𓊛𓏥𓎛𓂝𓊛𓏥
Hawt,joy,بهجة,13,𓎛𓂝𓅱𓏏𓀠𓏪𓎛𓂝𓏏𓀠𓏧
Hapy,nile (as god),الإله حعبي (النيل),13,𓎛𓂝𓊪𓈗𓎛𓊪𓈘𓎛𓂝𓊪𓏭𓈘𓎛𓂝𓊪𓏭𓈘𓈗𓀭𓎛𓂝𓊪𓂋𓈗𓈙𓏥𓎛𓂋𓊪𓈙𓀭𓁷𓊪
Hat,wick,فتيل,13,𓎛𓂝𓏏
Hat,"front, forehead, forepart",أمام، مقدمة,13,𓄂𓏏𓏤
HaDA,"plunder (vb.), robbery (n.)",ينهب، سرقة,13,𓎛𓂝𓍑𓄿𓀜
HaDAwt,robbery,سرقة,13,
Hw,food,طعام,13,𓎛𓅱𓈀𓏥𓎛𓅱𓄑𓏥𓎛𓅱𓄑𓏛𓎛𓄑𓏥𓄑𓏛𓈀𓏥𓎛𓅱𓀭
Hw,(royal) ordinance,مرسوم (ملكي),13,𓎛𓅱𓅆
Hw,name of divine: (authoritative utterance),إسم إله,13,𓎛𓅱𓀭𓎛𓅱𓄑𓏛𓀭
Hw-ny-r-Hr,combat,قتال,13,𓎛𓀜𓈖𓏭𓂋𓁷𓏤𓂡
Hw sDb,implant an obstacle,يضع عائق,13,𓎛𓀜𓋴𓆓𓃀𓉽
HwA,"foul, offensive (adj.), putrefy, rot (vb.), smell offensive, spoil (enjoyment (?))",كريه، يتعفن، يُفسِد (المتعة(؟)),13,𓎛𓍯𓄿𓐎
HwAAt,putrefaction,تعفن,13,𓎛𓍯𓄿𓄿𓏏𓐎𓏥𓎛𓍯𓄿𓅱𓏏𓐏
Hwi,"surge up, overflow (of Nile), rain (vb.)",يتدفق، فيض (النيل)، تمطر,13,𓎛𓀜𓏷𓀜𓈗𓎛𓀜𓎛𓍢𓀜𓎛𓀜𓂡
Hwi,"beat, strike, smite, defeat (in argument), drive off (cattle), drive in (mooring-post), flap (wings), clap (with hands), gather (crops), thresh (corn), throw (against wall), tread (road, etc.), roam (the earth)",يضرب، يضرب بشدة، يتغلب على (في جدال)، يُبعد (ماشية)، يصل إلى (مرسى السفن)، يرفرف (بالاجنحة)، يصفق (بالايدي)، يجمع (حبوب)، يدرس (الذرة)، يرمي (على الحائط)، يطأ (على الطريق، ...الخ)، يتجول (في الأرض),13,𓎛𓀝𓀜𓀝𓂡𓎛𓅱𓀜𓎛𓌈
Hwy,would that ....! (non-encl. part.),يا ليت (أداة غير مسندة),13,𓎛𓅱𓏭
Hwyt,rain (n.),مطر,13,𓎛𓀝𓇌𓏏𓈗
Hwa,short,قصير,13,𓎛𓅱𓂝𓅪𓎛𓂝𓅪
Hwa-ib,apprehensive,قلق، عصبي,13,𓎛𓅱𓂝𓅪𓄣𓏤𓀀
H(w)aw,short men,رجال قصيرة,13,𓎛𓂝𓅱𓂢𓀀𓏥
Hww,"class (?) of bulls, cattle (in general)",فصيلة (؟) من الثيران، قطيع ابقار,13,𓎛𓅱𓂸𓃒𓏥𓎛𓅱𓅱𓃒𓏥𓎛𓅱𓇌𓅱𓃒𓏪
Hww,proclaim,يُعلن، ينادي بـ,13,𓎛𓅱𓅱𓎛𓅱𓎛𓅱𓏮𓀁
Hwn,rib-roast,ضلع مشوي,13,𓎛𓃹𓈖𓄹
Hwn,"be rejuvenated, refreshed, youthful vigour",يستعيد شبابه، يتجدد، حيوية الشباب,13,𓎛𓇬𓈖𓀔𓎛𓃹𓈖𓀔
Hwn,"child, young man",طفل، شاب,13,𓎛𓃹𓈖𓀔𓎛𓃹𓈖𓇬𓀔
Hwnw nfrw,recruits,مجندين,13,𓎛𓇬𓈖𓀔𓏪𓄤𓅱𓏪
Hwnt,maiden,فتاة بكر,13,𓎛𓇬𓏏𓈖𓀔𓎛𓇬𓈖𓏌𓏏𓀔𓁐
Hwrw,"speak ill (?), decry (?)",يذم (؟)، يتطاول (؟)، يستنكر (؟),13,𓎛𓅨𓂋𓅱𓀁
Hwrw,evil (n.),شر,13,𓎛𓅨𓂋𓅱𓅪
Hwrw,"poor, humble man, despicable person",فقير، رجل متواضع، شخص حقير,13,𓎛𓅨𓂋𓅱𓅪𓀀𓎛𓅨𓂋𓅱𓅪𓏥𓎛𓅨𓂋𓅱𓀔𓅪𓀀𓎛𓅨𓂋𓅱𓀔𓀀
Hwrw ib,poor of understanding,بطيء الفهم,13,𓎛𓅨𓂋𓅱𓅪𓄣𓏤
Hwt,"temple, funerary chapel, administrative district, estate",معبد، معبد جنائزي صغير، (منطقة) إدارية، ضيعة,13,𓉗𓏏𓉐
H(w)t,stroke (of falcon),ضربة (صقر),13,𓎛𓏏𓂡
Hwt a,extending the arm (in dedicating offering),تمديد الذراع (في تقدمة التكريس),13,𓎛𓏏𓂝
Hwt-aAt,"palace, administrative center of district, temple, tomb-chapel",قصر، المركز الإدارى للإقليم، معبد، مقصورة مقبرة,13,𓉟𓏏𓉐
Hwt-anx,mansion of life (royal living quarters),قصر الحياة (الاحياء السكنية الملكية),13,𓉗𓋹𓏏𓉐
Hwt-wryt,the great mansions (law-courts),القصور العظيمة (قاعات المحكمة),13,
Hwt-pat,mansion of the patricians (a shrine),قصر النبلاء (مقصورة),13,𓉗𓏏𓉐𓊪𓂝𓏏𓉐𓀀𓏥
Hwt-nbw,alabaster quarries (in Hare nome),محاجر الالباستر,13,𓉗𓋞𓈒𓏥𓈉
Hwt nbw,"mansion of gold (goldsmith's workshop), mansion of gold (temple in Abydos)",قصر الذهب (ورشة الذهب)، قصر الذهب (معبد في ابيدوس),13,𓉗𓋞𓉗𓋞𓈒𓏥
Hwt-nt,mansion of the red crown (a temple),قصر التاج الأحمر (معبد),13,𓉗𓋔
Hwt-nTr,temple,معبد,13,𓊹𓉗𓊹𓉗𓏏𓉐𓉗𓊹
Hwt-Hr,"Hathor (name of divinity), (name of) the fourth month",الإلهة حتحور، اسم الشهر الرابع,13,𓉗𓁷𓂋𓁥𓉡
Hwt-kA,"Chapel (in tomb, in temple)",مقصورة (فى المقبرة أو المعبد),13,𓉞𓂓𓉞𓏏𓂓𓉐
Hwt-kA-ptH,Memphis,مدينة منف,13,𓉞𓏏𓉐𓂓𓏤𓊪𓏏𓎛𓀭𓊪𓏏𓎛𓉞𓂓
Hwtf,"rob, plunder",يسلب، ينهب,13,𓎛𓅱𓏏𓆑𓀜𓎛𓅱𓏏𓆑𓍢𓂡
Hb,catch (of fish and fowl),صيد (اسماك وطيور),13,𓎛𓃀𓎳𓅭𓆛𓏥𓎛𓃀𓅭𓆛𓏥𓅭𓆛𓎛𓎱𓃀𓅭𓏥𓆛𓏥
Hb,mourn,ينوح، يندب,13,𓎛𓃀𓎱𓀜
Hb,celebrate a triumph,احتفال بنصر,13,𓎛𓃀𓎱𓂡𓎛𓎱𓃀𓎱𓂘𓂡𓎱𓏛
Hb,festival,احتفال,13,𓎛𓃀𓎳𓎛𓃀𓎱𓎛𓂂𓎱𓃀𓎳𓎱𓎛𓃀𓏝
Hb-sd,jubilee,يوبيل,13,𓎳𓋴𓂧𓈅𓉳𓋴𓂧𓈅𓉳𓎳𓉳𓎳𓎛𓃀𓋴𓂧𓈅𓎱𓇳
HbAbA,waddle,يتبخر، يتهادى في حركته,13,𓎛𓃀𓅡𓄿𓃀𓅡𓄿𓂻
Hby,"be festal, make festival",يكون احتفالي، يقيم احتفال,13,𓎛𓃀𓇌𓎳𓎛𓃀𓎳𓇌𓉲𓇌
Hbyt,festival offerings,قرابين للاحتفالات,13,𓎛𓃀𓇌𓏏𓎳𓎳𓇌𓏏𓎱𓏏𓏥𓎛𓃀𓎳𓇌𓏏𓏥𓎛𓃀𓇌𓏏𓂂𓏫
Hba,play (draughts),يلعب (الداما),13,𓎛𓃀𓂝𓌙𓌙𓏛𓎛𓂝𓃀𓂡
Hbw,target,هدف للتصويب,13,𓎛𓃀𓅱𓊌
Hbbt,water,ماء,13,𓎛𓃀𓃀𓏏𓈗𓎛𓃀𓃀𓈅𓈗
Hbs,bear (flabellum),يحمل (مروحة),13,𓎛𓃀𓊃𓋳𓂡
Hbs,"garment, clothes, clothing, cloth (for straining liquids), covering",ملابس، رداء، قماش (لتصفية السوائل)، غطاء,13,𓎛𓃀𓋴𓋳𓎛𓃀𓋴𓍱
Hbs,"clothe (vb.), be clothed, don (garment), furnish (house), hide, cover up, covered (confidential ? of documents)",يكسو، يرتدي ثيابا، يؤثث (منزلا)، يغطي، (وثائق) مغطاة (سرية؟),13,𓎛𓃀𓋴𓋳𓎛𓃀𓋴𓍱𓎛𓃀𓋴𓋳𓂡
Hbs Xt,keep silent,يبقى صامتا,13,𓎛𓃀𓋴𓋳𓄡𓏏𓏤
Hbsw,bundle (?),حزمة (؟),13,𓎛𓃀𓋴𓅱𓐡
Hbswt,cloth,قماش,13,𓎛𓃀𓋴𓏏𓅱𓋳𓏏𓅱
Hbt,ritual book,كتاب طقسى,13,𓎛𓃀𓏏𓎱𓍼𓎳𓏏𓏛
Hpy,one of the four sons of Horus,ابن من أبناء حورس الأربعة,13,𓐑𓊪𓇌𓀭𓎛𓊪𓐑𓇌𓐑𓊪𓀭
Hpw,Apis-bull,الثور أبيس,13,𓎛𓊪𓅱𓐑𓃒𓎛𓐑𓊪𓅭𓃒𓊪𓃒
Hpwty,runner,عدّاء,13,𓐑𓊪𓅱𓏏𓏭𓂻
Hpgt,a leaping dance,رقص قافز,13,𓎛𓊪𓎼𓏏
Hpt,"embrace (vb. and n.), armful",يحضن، حضن، ملء الذراعين,13,𓎛𓊪𓏏𓂘𓎛𓊪𓏏𓂘𓂝
Hpt,travel,يسافر,13,𓎛𓊪𓏏𓂻
Hpt,oar,مجداف,13,𓎛𓊪𓏏𓊦𓊤𓏏𓏤𓎛𓊪𓏏𓐑𓐑𓏏𓏤𓎛𓊪𓏏𓊤𓐑𓏏𓊤𓏥
Hptw,"cross-timbers (of door-leaves), ribs (?) (of boat)",الواح خشبية عرضية (لمصرعي الباب)، عوارض (؟) (قارب),13,𓎛𓊪𓏏𓅱𓂘𓆱𓏥𓎛𓊪𓏏𓅱𓆱𓏥
Hptt,course (of sun and moon),دورة (الشمس والقمر),13,𓎛𓊪𓏏𓌒𓏏𓂻
Hpd,open (mouth),يفتح (الفم),13,𓎛𓊪𓂧𓂎𓂎𓇉𓄿𓊪𓂧
Hf,"range (hills), range (of lion)",,13,𓎛𓆑𓂻
HfAw,snake,ثعبان,13,𓎛𓆑𓄿𓅱𓆙𓎛𓆑𓄫𓅱𓆙
HfAt,crawling posture,وضع زاحف,13,𓎛𓆑𓄿𓏏𓂻
Hf(A)t,intestinal worm,دودة معوية,13,𓎛𓆑𓏏𓆙
Hfn,"100,000 (num.), great quantity","100,000، كمية كبيرة",13,𓆐
Hfd,sit,يجلس,13,
Hfd,climb,يتسلق,13,𓎛𓆑𓂧𓂻
Hm,majesty (of king or god),جلالة (ملك أو إله),13,𓍛𓏤𓍛𓏤𓅆𓍛𓀭
Hm,servant,خادم,13,𓍛𓀀𓍛𓏤𓀀𓍛𓍢𓀀
Hm,steer (over water),يدير الدفة,13,𓈞𓅓𓊦
Hm,"retire, retreat",يتراجع، يتقهقر,13,𓈞𓅓𓂽
Hm,coward,جبان,13,𓈞𓅓𓂺
Hm,"enclitic particle: (assuredly , indeed)",أداة إسنادية : (حقًا ، يقينًا),13,𓈞𓅓𓈞𓅓𓂝𓈞𓅓𓀜
Hm-nTr,"prophet, priest",متنبئ، كاهن,13,𓊹𓍛
Hm-nTr aSA,ordinary priest,كاهن عادي,13,
Hm-nTr mAat,prophet ofmAat,كاهن الإلهة ماعت,13,𓊹𓍛𓆄
Hm HA tp.k,turn back!,استدر للخلف!,13,𓈞𓅓𓂽𓇉𓄿𓁶𓎡
Hm-xt,retreat,يتقهقر، ينسحب,13,𓈞𓅓𓆱𓐍𓏏𓂽
Hm-kA,soul-service,خدمة الروح,13,𓂓𓍛𓏛𓏥
Hm-kA,soul-priest,كاهن الروح,13,𓂓𓍛𓀀𓂓𓍛𓇌𓂡𓀀𓂖
HmA,ball,كرة,13,𓎛𓅓𓄿𓂂𓎛𓌳𓄿𓆇
HmAgt,carnelian,عقيق,13,𓎛𓌳𓄿𓎼𓏏𓈒𓏥𓎛𓅓𓎼𓏏𓈓
HmAt,salt,ملح,13,𓎛𓌳𓄿𓏏𓍖𓈒𓏥𓎛𓌳𓏏𓈒𓏥
Hmy,helmsman,قائد الدفة,13,𓈞𓅓𓇌𓊦𓀀
Hmw,"be skilled, skillful",ماهر,13,𓍍𓅱𓏛
Hmw,steering-oar,مجداف للقيادة,13,𓈞𓅓𓍢𓊦𓎛𓈞𓅓𓅱𓆱𓈞𓅓𓊦𓊦
Hmw ib,ingenious,مبدِع,13,𓍍𓅱𓏛𓄣𓏤
Hmw-Tn,your worships (of gods or honored men),عباداتك (تجاه الالهة او الرجال الشرفاء),13,𓍛𓍛𓍛𓍿𓈖𓏥𓍛𓀭𓏪𓋴𓈖𓏥
Hmwy,work,عمل,13,𓍍𓏮𓅱𓏛
Hmww,fuller (?),القَصَّار (؟) (عامل بصناعة الصوف),13,𓍛𓅱𓅱𓍛𓈗
Hmww,"craftsman, expert, carpenter (in Late Egyptian)",حِرَفي، خبير، نجار(فى العصر المتأخر),13,𓍍𓅱𓅱𓀀𓍍𓀀𓍍𓅱
Hmwwtyw,craftsmen,حرفيين,13,𓍍𓅱𓅱𓅂𓂡𓀀𓏥
Hmwst,female counterpart of the Ka,نظير الـkAالمؤنث,13,
Hmwt,craftsmen,حرفيين,13,𓍍𓅱𓏏𓀀𓏥𓍍𓏏𓏤𓀀𓏪
Hmm,surgeon’s knife (?),شفرة الجراح (؟),13,𓎛𓅓𓅓𓈔𓏤
Hmsi,"sit, sit down, dwell, occupy (a place), seat (someone)",يَجلِس، يسكن، يقيم، يحتل (مكان)، يُجلِس (شخص ما),13,𓈞𓅓𓋴𓁒
Hmsy,guest,ضيف,13,𓈞𓊃𓇌𓏛𓀀
Hmsw,guests,ضيوف,13,𓈞𓅓𓋴𓁒𓀀𓁐𓏥
Hmsw,sloth,كسل، تراخ,13,𓈞𓊃𓀔𓀀𓏥
Hmst,"seat (rank, position)",كرسي (وظيفة أو رتبة),13,𓈞𓋴𓏏𓀀
Hmst,session,جلسة,13,𓈞𓊃𓏏𓀼
Hmt,"skill, craft (of sculptor, etc.)",مهارة، حرفية (النحات، ...الخ),13,𓍍𓏏𓏤𓍍𓏏𓏛
Hmt,"copper, minerals",نحاس، معادن,13,𓈔𓏤𓈓𓈔𓈒𓏥
Hmt,majesty (of queen or goddess),جلالة (ملكة او الهة),13,𓍛𓏏
Hmt,female servant,خادمة,13,𓍛𓏏𓁐𓍛𓏏𓏤𓁐
Hmt,stand (?) (for target),قائم (؟) (للتصويب),13,𓍛𓏏𓏤𓆱
Hmt,"woman, wife",سيدة، زوجة,13,𓈞𓏏𓁐
Hmt-nsw,queen,ملكة,13,𓇓𓏏𓈖𓈞𓏏𓇓𓈞𓏏𓁐𓇓𓏏𓈞
Hmt-nTr,god’s wife (title of the queen),زوجة الإله (لقب للملكة),13,𓊹𓈞𓏏
Hmt-r,"magic spell, etcetera, and as forth",تعويذة سحرية، إلى آخره، وهلم جرة,13,𓍍𓏏𓏤𓏛𓏥𓂋𓏤𓍍𓏏𓂋
Hmty,coppersmith,النحَّاس,13,𓈔𓏏𓏭𓂡
Hn,go speedily,يذهب بسرعة,13,𓎛𓆰𓈖𓂻
Hn,"provide, equip, command, govern, control (oneself, mouth, hands), charge (someone with task), commend (someone to), occupy (one's hands with business)",يزوّد، يجهِّز، يتولى القيادة، يحكم، يضبط (نفسه، فمه، يده)، يكلِّف (شخص ما بتأدية مهمة)، يستأمن (شخص)، يشغل (يديه بعمل ما),13,𓎛𓆰𓈖𓏛𓎛𓆰𓈖𓎨𓏛𓎛𓆰𓈖𓎨𓅪𓎛𓆰𓈖𓎨
Hn,"encumber, obstruct",يعوق، يمنع,13,𓎛𓆰𓈖𓎨
Hni,rush,بوص,13,𓎛𓆰𓈖𓇋𓆰𓎛𓆰𓈖𓆰
Hnyt,spear,حربة,13,𓎛𓈖𓇋𓇋𓏏𓌉
Hna,"preposition: (together with, and), Conjunction: (and), adverb: (there-with - together with them)",حرف جر (مع، و)، أداة ربط: (و)، ظرف: (بذلك ، معًا معهم),13,𓎛𓈖𓂝𓎛𓈖𓎛𓈖𓂝𓏥
Hnw,ribs,ضلوع,13,𓎛𓆰𓈖𓏌𓍢𓄹𓏥
Hnw,barque of Sokar,قارب سوكر,13,
Hnw,"goods, chattels",متاع، بضائع,13,𓎛𓆰𓈖𓏌𓅱𓏛𓏥
Hnw,"jar, bowl, chattel, possession",جرَّة، سلطانية، متاع,13,𓎛𓆰𓈖𓏌𓅱𓏌𓎛𓌼𓈖𓏌𓅱𓏋𓎛𓆰𓈖𓅱𓎺
Hnw,(military) commanders,قواد (عسكريين),13,𓎛𓆰𓈖𓏌𓅱𓂡𓀀𓏪
Hnwt,horn,قرن,13,𓎛𓆰𓈖𓄏
Hnwt,mistress,سيدة,13,𓎛𓏌𓏏𓁐𓎛𓈖𓏌𓏏𓁐𓎺𓏏
Hnwt.i,madam (in respectful address),سيدتي (للخطاب باحترام),13,𓎛𓈖𓏌𓏏𓁐𓀀𓎺𓏏𓀀
Hnwty,servant,خادم,13,𓎛𓌼𓈖𓏌𓍢𓏏𓏮𓀀
Hnb,convey (land to),ينقل ملكية (أرض),13,𓎛𓈖𓃀𓍢𓂡
Hnbwt,confines (of district),حدود (مقاطعة),13,𓎛𓆰𓈖𓃀𓏏𓈇𓏥
Hnmmt,"the sun-folk of Heliopolis, mankind",رعايا الشمس بهليوبلس، البشرية,13,𓎛𓆰𓈖𓅓𓅓𓏏𓀀𓁐𓏥𓇶𓅓𓅓𓏏𓀀𓁐𓏥𓇶𓀀𓁐𓏥𓇶𓏏𓏥𓎛𓅓𓅓𓏏𓇶𓏥
Hnmnm,creep,يزحف,13,𓎛𓈖𓌰𓅓𓌰𓅓𓂻
Hnn,hoe,مجرفة، يعزق (الأرض),13,𓎛𓈖𓈖𓌼𓏤𓎛𓆰𓈖𓈖𓆱𓎛𓆰𓈖𓈖𓂸𓎛𓆰𓈖𓈖𓂺𓄹
Hnn,phallus,قضيب,13,𓎛𓆰𓈖𓈖𓂸𓎛𓆰𓈖𓈖𓂺𓄹
HnHn,"dawdler (?), cripple (?)",مُتوان (؟)، أعرج (؟)، متسكع (؟),13,
HnHn,"hinder, detain",يعيق، يؤخر,13,𓎛𓆰𓈖𓎛𓆰𓈖𓂽𓎛𓆰𓈖𓆰𓈖𓂻𓎛𓆰𓈖𓎛𓂽𓎛𓆰𓈖𓎛𓂽𓎛
HnHnt,swelling,تورُّم,13,𓎛𓆰𓈖𓆰𓈖𓏏𓆇
Hns,"narrow, constricted",مُحدَّد، ضيِّق,13,𓎛𓆰𓈖𓋴𓅪𓎛𓆰𓈖𓋴𓈐𓅪𓎛𓈖𓋴𓎛𓆰𓋴
Hnsk,tie up (?),يربط (؟),13,𓎛𓎺𓈖𓊃𓎡𓍢𓂡
Hnkyt,she who has braided hair,ذات الشعر المجدول,13,𓎛𓆰𓈖𓊃𓎡𓇌𓏏𓁸
Hnskt,braided lock (of hair),خُصلة مجدولة (من الشعر),13,𓎛𓆰𓈖𓊃𓎡𓏏𓁸
Hnsktyw,wearers of the side-lock,مرتدي خصلة الشعر الخانبية,13,
Hnqt,beer,جعة,13,𓎛𓈎𓏏𓏊𓏊
Hnk,offerings,قرابين,13,𓂠𓏌𓏌𓏌
Hnk,"present (someone with), make offering (to), be burdened (with)",يُهدي (شخص ما بـ)، يقدِّم (شيء)، يقدم تقدمة (إلى)، يكون مُثقل,13,𓎛𓈖𓎡𓂠𓂠𓂠𓏛𓎛𓆰𓈖𓎡𓂠𓂠𓏌𓏌𓏌
Hnkyt,"bed, bier",سرير، نعش,13,𓎛𓆰𓈖𓎡𓇌𓏏𓂢𓋳𓎛𓈖𓎡𓏏𓋳
Hnkw,scale-pan (of balance),كفة (الميزان),13,𓎛𓆰𓈖𓎡𓅱𓂠𓎛𓆰𓇤𓎡𓅱𓎝
Hnkw,(diplomatic) gifts,هدايا (دبلوماسية),13,𓎛𓈖𓆰𓎡𓍢𓂠𓏤
Hnkt,offerings,قرابين,13,𓎛𓈖𓎡𓏏𓂠𓏌𓏌𓏌𓂠𓏏𓏥
Hnkt-anx,bed of life (where the sun sets),مأوى الحياة (حيث تغرب الشمس),13,𓂠𓏏𓉐𓋹𓈖𓐍𓉐
Hnt,greed,جشَع,13,𓎛𓆰𓈖𓏏𓆊𓎛𓆰𓏏
Hnt,"space of time, lifetime",قدر من الوقت، عُمر,13,𓎛𓆰𓈖𓏏𓏛
Hnt,cup,كوب,13,𓎛𓈖𓏏𓎺𓎺𓏏
Hnt,swampy lake,بحيرة مستنقع,13,𓎛𓆰𓈖𓏏𓈙𓎛𓆰𓈖𓏏𓏯𓈘𓈇
Hnt,"occupation, craft, business, services",حرفة، مهنة، عمل، خدمات,13,𓎛𓆰𓈖𓏏𓎨𓏛𓏥𓎨𓏏𓏛𓏥𓎛𓆰𓈖𓏏𓏛
HntA,porcupine (?),قنفذ (؟),13,𓎛𓆰𓈖𓏏𓄿𓄛𓏤𓎛𓆰𓈖𓏏𓏭𓄛
HntAsw,lizard,سحلية,13,
Hnty,"commander (foreign), equerry (of foreign prince)",قائد (أجنبي)، قيِّم الاسطبل (لأمير أجنبي),13,𓎛𓈖𓏏𓍔𓇌𓂡𓎛𓈖𓏏𓅱𓇌𓎛𓆰𓈖𓍘𓇌
Hnty,"commander (foreign), equerry (of foreign prince)",,13,𓎛𓈖𓏏𓍔𓇌𓂡𓎛𓈖𓏏𓅱𓇌𓎛𓆰𓈖𓍘𓇌
Hnty,"be covetous, greedy",طماع، جَشِع,13,𓎛𓆰𓈖𓏏𓏭𓎨𓀜𓎛𓆰𓈖𓏏𓆊𓀜𓎛𓆰𓈖𓏏𓀜𓎛𓎨𓋔𓏏𓆊
Hnty,two sides of time (eternity),طرفي الزمن (الابدية),13,𓎛𓆰𓈖𓏏𓏭𓈐𓎨𓏏𓏭𓎛𓆰𓈖𓏏𓏮𓎨𓎛𓆰𓈖𓏏𓍘𓇋𓏝𓎛𓌼𓈖𓏏𓏭𓂻
Hnty,"the two sides of (space), the two ends of (space)",طرفي مكان (بدايته ونهايته),13,𓎛𓆰𓈖𓏏𓏭𓎨𓎨𓎨𓎨
Hr,"prepare, make ready, be ready for",يعد، يستعد,13,𓁷𓂋𓐡𓂡
Hr,"terror, dread",رُعب,13,𓎛𓁷𓂋𓐡𓀜
Hr,"terrible (adj.), terrify someone (vb.)",رهيب، يُرهِب,13,𓁷𓂋𓐡𓀜
Hr,"distant (adjective), be far from (vb.)",بعيد (صفة)، يبعد,13,𓎛𓁷𓂋𓈐
Hr,a rope (aboard ship),حبل (على ظهر المركب),13,𓁷𓏤𓍢
Hr,"preposition with suffexes (upon, in, at, from, an account of, concerning, through, and, having on it ), because (conjunction before infinitive)",حرف جر (على، في، مِن، بخصوص، و، عبر، بسبب)، بسبب (أداة ربط تأتي قبل المصدر),13,𓁷𓏤𓁷𓂋
Hr,"face, face (of animal)",وجه، وجه (حيوان),13,𓁷𓏤
Hr,sight,نظر، مرأى,13,𓁷𓏤𓁷𓂋
Hr,"Horus, Horus (royal title)",حورس، حورس (لقب ملكي),13,𓅃𓀭
Hr-ib,"in the middle of, midst of",في وسط,13,𓁷𓄣
Hr ib n,in the opinion of,في رأي .....,13,
